rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,SCATSTA,13174,12381,11239,7465,7780,8081,4820,1695,0,0,0,
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,SHOREHAM,664,382,370,143,0,0,0,0,0,0,0,
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,SOUTHAMPTON,36054,35710,34249,37461,39285,35750,32529,9066,8464,16253,17909,10.188888205
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,STORNOWAY,6340,6296,6284,6279,6919,6903,5876,2688,3228,4526,5131,13.367211666
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,SUMBURGH,9197,10227,11057,11931,11622,10474,12600,6633,9346,11333,11763,3.794229242
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,4327,4047,3920,3684,4117,3802,3630,2044,3987,3430,3210,-6.413994169
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,TIREE,985,1018,1248,1714,1764,1769,1600,1069,1264,1471,1553,5.574439157
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,WICK JOHN O GROATS,3337,2364,2203,1775,1750,1526,1397,257,2,875,1128,28.914285714
19/03/2024 12:57,2023 - 2023,2,4,Non UK Reporting Airports,ALDERNEY,6379,6183,5802,5584,5742,4955,4702,2468,3341,4222,4382,3.789673141
19/03/2024 12:57,2023 - 2023,2,4,Non UK Reporting Airports,GUERNSEY,32982,25766,23608,23572,22629,20930,23030,8624,9371,16127,16131,0.024803125
19/03/2024 12:57,2023 - 2023,2,4,Non UK Reporting Airports,ISLE OF MAN,20372,17332,19081,19007,14930,14097,13530,4832,4612,8842,10547,19.282967654
19/03/2024 12:57,2023 - 2023,2,4,Non UK Reporting Airports,JERSEY,34299,28400,25453,25655,24020,23828,24972,7697,10051,17081,18337,7.353199461

