rundate,span,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,OXFORD (KIDLINGTON),0.300000,16.210000,0.000000,5.680000,0.000000,0.612000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,PRESTWICK,9526.144000,12539.633000,11241.626000,10821.912000,11392.594000,13002.541000,13053.755000,12048.828000,16208.606000,15297.843000,10673.157000,-30.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,SCATSTA,848.882000,788.014000,701.846000,456.228000,490.176000,448.697000,275.388000,96.146000,0.000000,0.000000,0.000000,0.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,SOUTHAMPTON,132.894000,133.234000,184.750000,172.671000,200.213000,232.794000,203.239000,69.112000,22.858000,21.764000,32.895000,51.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,STORNOWAY,114.499000,113.547000,100.730000,93.742000,164.772000,216.618000,179.202000,134.437000,138.655000,129.205000,105.286000,-19.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,SUMBURGH,329.145000,334.731000,382.323000,306.467000,329.426000,332.564000,321.580000,168.788000,188.727000,199.409000,179.109000,-10.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,0.000000,1.700000,0.000000,8.350000,4.270000,0.547000,0.047000,8.260000,0.023000,0.000000,62.255000,0.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,TIREE,21.319000,11.205000,13.140000,8.405000,11.937000,20.620000,11.608000,5.755000,5.628000,4.986000,4.415000,-12.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,WICK JOHN O GROATS,0.494000,0.636000,1.132000,0.309000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19/03/2024 13:20:52,2013 - 2023,Non UK Reporting Airports,ALDERNEY,127.958000,118.616000,108.728000,94.765000,99.845000,95.256000,80.004000,43.334000,45.864000,32.245000,37.816000,17.000000
19/03/2024 13:20:52,2013 - 2023,Non UK Reporting Airports,GUERNSEY,2026.266000,2027.177000,1911.297000,1864.614000,1223.072000,936.720000,979.155000,827.694000,811.551000,722.964000,432.719000,-40.000000
19/03/2024 13:20:52,2013 - 2023,Non UK Reporting Airports,ISLE OF MAN,447.453000,358.453000,313.984000,261.660000,212.161000,150.140000,120.037000,92.718000,59.729000,46.683000,55.575000,19.000000
19/03/2024 13:20:52,2013 - 2023,Non UK Reporting Airports,JERSEY,2823.160000,2875.859000,2666.999000,1894.977000,1303.594000,1041.479000,785.138000,676.076000,954.914000,1001.063000,560.574000,-44.000000

