rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,BOURNEMOUTH,1088370,950206,14.540425971,0,0,,7202,6024,19.555112882,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,BRISTOL,10615864,9913011,7.090207002,0,0,,71134,68635,3.640999490,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,CAMPBELTOWN,7028,7120,-1.292134831,0,0,,1049,1057,-0.756859035,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,CARDIFF WALES,875651,838574,4.421434483,0,0,,7183,7765,-7.495170637,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),179095,154486,15.929598799,0,0,,3050,3040,0.328947368,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,DUNDEE,36008,38508,-6.492157474,63,0,,1486,1655,-10.211480363,5,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4133398,3932497,5.108738799,0,0,,45476,48694,-6.608617078,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,EDINBURGH,15780353,14396794,9.610188213,0,0,,116693,111335,4.812502807,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,EXETER,449722,433067,3.845825242,0,0,,6219,6705,-7.248322148,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,GLASGOW,8067685,7358828,9.632743149,0,0,,67634,63878,5.879958671,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,HUMBERSIDE,140926,125929,11.909091631,9689,11047,-12.292930207,3361,3099,8.454340110,1911,1857,2.907915994
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,INVERNESS,796988,802338,-0.666801273,71,0,,10290,12269,-16.130083951,5,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,ISLAY,30535,28982,5.358498378,0,0,,1235,1355,-8.856088561,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,KIRKWALL,148924,143073,4.089520734,579,20,2795.000000000,9974,10318,-3.333979453,37,2,1750.000000000
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,LEEDS BRADFORD,4222487,3989405,5.842525389,0,0,,31035,29281,5.990232574,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,LERWICK (TINGWALL),2840,2913,-2.506007552,0,0,,784,867,-9.573241061,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),5074266,4193623,20.999574831,0,0,,35523,31518,12.707024557,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,MANCHESTER,30789056,28096783,9.582139706,0,0,,190034,173688,9.411128000,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,NEWCASTLE,5143412,4819969,6.710478843,0,0,,37218,35856,3.798527443,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,NEWQUAY,415989,408870,1.741140216,0,0,,5516,6048,-8.796296296,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,NORWICH,351681,281756,24.817572652,63418,76096,-16.660534062,4751,4263,11.447337556,8542,10398,-17.849586459
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,OXFORD (KIDLINGTON),2,2,0.000000000,0,0,,1,1,0.000000000,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,PRESTWICK,535570,524880,2.036655998,0,0,,3863,3849,0.363730839,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,SOUTHAMPTON,852727,754931,12.954296485,0,0,,17342,17909,-3.166005919,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,STORNOWAY,100988,106237,-4.940839820,0,0,,5240,5131,2.124342233,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,SUMBURGH,212481,183960,15.503913894,77243,75108,2.842573361,8134,6822,19.231896804,5117,4941,3.562031977
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,228126,226557,0.692540950,0,0,,3536,3210,10.155763240,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,TIREE,10026,11898,-15.733736762,0,0,,1612,1553,3.799098519,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,WICK JOHN O GROATS,9720,10719,-9.319899244,243,0,,1042,1128,-7.624113475,16,0,
3/14/2025 11:03:50 AM,2024,2023,2,4,Non UK Reporting Airports,ALDERNEY,47736,49546,-3.653170791,0,0,,4282,4382,-2.282062985,0,0,
3/14/2025 11:03:50 AM,2024,2023,2,4,Non UK Reporting Airports,GUERNSEY,684554,694958,-1.497068888,0,0,,17849,16131,10.650300663,0,0,
3/14/2025 11:03:50 AM,2024,2023,2,4,Non UK Reporting Airports,ISLE OF MAN,639138,638619,0.081269114,0,0,,9486,10547,-10.059732625,0,0,
