rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
14/03/2025 11:31,2024,2023,Other UK Airports,INVERNESS,10295,9090,1205,12269,10123,2146,-16.089331,-10.204485,-43.849021
14/03/2025 11:31,2024,2023,Other UK Airports,ISLAY,1235,1235,0,1355,1355,0,-8.856089,-8.856089,
14/03/2025 11:31,2024,2023,Other UK Airports,ISLES OF SCILLY (ST.MARYS),7600,6720,880,7562,6762,800,0.502513,-0.621118,10.000000
14/03/2025 11:31,2024,2023,Other UK Airports,KIRKWALL,10011,9534,477,10320,9737,583,-2.994186,-2.084831,-18.181818
14/03/2025 11:31,2024,2023,Other UK Airports,LANDS END (ST JUST),4891,3997,894,5362,4565,797,-8.784036,-12.442497,12.170640
14/03/2025 11:31,2024,2023,Other UK Airports,LEEDS BRADFORD,31035,31035,0,29281,29281,0,5.990233,5.990233,
14/03/2025 11:31,2024,2023,Other UK Airports,LERWICK (TINGWALL),784,784,0,867,865,2,-9.573241,-9.364162,-.000000
14/03/2025 11:31,2024,2023,Other UK Airports,LIVERPOOL (JOHN LENNON),35523,35523,0,31518,31381,137,12.707025,13.199070,-.000000
14/03/2025 11:31,2024,2023,Other UK Airports,LYDD,2,2,0,1,1,0,.000000,.000000,
14/03/2025 11:31,2024,2023,Other UK Airports,MANCHESTER,190034,189692,342,173688,173664,24,9.411128,9.229316,"1,325.000000"
14/03/2025 11:31,2024,2023,Other UK Airports,NEWCASTLE,37218,37080,138,35856,35439,417,3.798527,4.630492,-66.906475
14/03/2025 11:31,2024,2023,Other UK Airports,NEWQUAY,5516,5516,0,6048,6048,0,-8.796296,-8.796296,
14/03/2025 11:31,2024,2023,Other UK Airports,NORWICH,13293,13293,0,14661,14661,0,-9.330878,-9.330878,
14/03/2025 11:31,2024,2023,Other UK Airports,OXFORD (KIDLINGTON),1,1,0,1,1,0,0.000000,0.000000,
14/03/2025 11:31,2024,2023,Other UK Airports,PRESTWICK,3854,3225,629,3826,3160,666,0.731835,2.056962,-5.555556
14/03/2025 11:31,2024,2023,Other UK Airports,SOUTHAMPTON,17342,17342,0,17909,17903,6,-3.166006,-3.133553,-.000000
14/03/2025 11:31,2024,2023,Other UK Airports,STORNOWAY,5240,4126,1114,5131,4035,1096,2.124342,2.255266,1.642336
14/03/2025 11:31,2024,2023,Other UK Airports,SUMBURGH,13251,12652,599,11763,11163,600,12.649834,13.338708,-0.166667
14/03/2025 11:31,2024,2023,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,3536,3300,236,3210,3180,30,10.155763,3.773585,686.666667
14/03/2025 11:31,2024,2023,Other UK Airports,TIREE,1612,1612,0,1553,1553,0,3.799099,3.799099,
14/03/2025 11:31,2024,2023,Other UK Airports,WICK JOHN O GROATS,1058,1058,0,1128,1128,0,-6.205674,-6.205674,
14/03/2025 11:31,2024,2023,Non UK Reporting Airports,ALDERNEY,4282,4269,13,4382,4375,7,-2.282063,-2.422857,85.714286
14/03/2025 11:31,2024,2023,Non UK Reporting Airports,GUERNSEY,17849,16623,1226,16130,14885,1245,10.657161,11.676184,-1.526104
14/03/2025 11:31,2024,2023,Non UK Reporting Airports,ISLE OF MAN,9486,9485,1,10547,10120,427,-10.059733,-6.274704,-99.765808
14/03/2025 11:31,2024,2023,Non UK Reporting Airports,JERSEY,17940,17435,505,18337,17563,774,-2.165022,-0.728805,-34.754522

